image,class,method,reference,SSIM_original,QSSIM_original,PSNR_original,PCC_original,DeltaE_original,SSIM_reference,QSSIM_reference,PSNR_reference,PCC_reference,DeltaE_reference
image003-2-roi1.tif,healthy,histogram_matching,ref1,0.89582583320536,0.89582583320536,14.714491401994291,0.7333251977342632,19.065107487856043,0.10272658109867709,0.10272658109867709,14.615133117096512,0.4379389542765791,14.829100867803598
image003-2-roi2.tif,healthy,histogram_matching,ref1,0.7942812652883436,0.7942812652883436,12.484897828466393,0.7058085650576656,22.890009001666588,0.09375128322588726,0.09375128322588726,14.688920874039237,0.45103129550979554,14.645519322098998
image003-2-roi3.tif,healthy,histogram_matching,ref1,0.9102267068340849,0.9102267068340849,14.34766124953798,0.7383769725500514,19.145422791524332,0.09910566629473161,0.09910566629473161,14.944866148593267,0.4781554881426447,14.183081885084286
image003-2-roi4.tif,healthy,histogram_matching,ref1,0.8953883505559936,0.8953883505559936,14.143464344420714,0.7301712324076925,19.701435369575453,0.09489659528231453,0.09489659528231453,14.421214460475051,0.4122199755560573,15.166153645260291
image003-2-roi5.tif,healthy,histogram_matching,ref1,0.8197207342597417,0.8197207342597417,13.878292065366969,0.7326451007391505,20.851910229248944,0.10415180590600377,0.10415180590600377,14.708708835167828,0.45046415631523157,14.595285435604225
image004-roi1.tif,healthy,histogram_matching,ref1,0.8016704224963921,0.8016704224963921,13.758481873987234,0.7210587580818356,21.15125185874307,0.0936651695047903,0.0936651695047903,14.77190936216391,0.4619502706674611,14.570331859891416
image004-roi2.tif,healthy,histogram_matching,ref1,0.8262593670962216,0.8262593670962216,12.519692224061991,0.6958545671291775,22.8676083316529,0.0979988544371904,0.0979988544371904,14.664038197840286,0.44304309661943,14.887170053110571
image004-roi3.tif,healthy,histogram_matching,ref1,0.8695907635721848,0.8695907635721848,14.572336232728887,0.7425612429923915,19.163324758102483,0.09661928085309135,0.09661928085309135,14.737016771773241,0.4549764982180648,14.656000109159322
image004-roi4.tif,healthy,histogram_matching,ref1,0.7727664928551109,0.7727664928551109,13.726037403771219,0.746150712089461,20.660576723453545,0.0956203331852321,0.0956203331852321,14.596755782079956,0.44714677098542976,14.881456371747818
image004-roi5.tif,healthy,histogram_matching,ref1,0.8400016826003727,0.8400016826003727,13.292751036703287,0.7222585938880006,21.204382425550826,0.09600872567560988,0.09600872567560988,14.634061216665597,0.44035945971760077,14.875789267880114
image005-2-roi1.tif,healthy,histogram_matching,ref1,0.8582059941438196,0.8582059941438196,14.14994744478387,0.7408847552076451,19.73029821506484,0.09746442093408063,0.09746442093408063,14.632601695350335,0.4400351015752102,14.83005310457091
image005-2-roi2.tif,healthy,histogram_matching,ref1,0.9046825319140375,0.9046825319140375,14.893912296006338,0.7332502761797384,18.413150984741815,0.09222374103691233,0.09222374103691233,14.715472001729669,0.45076540733752907,14.698311244205986
image005-2-roi3.tif,healthy,histogram_matching,ref1,0.8750362297057902,0.8750362297057902,14.2591177148635,0.7299219118061138,19.347466176646233,0.09377756536430447,0.09377756536430447,14.51942074310012,0.4264640868442608,14.98590805812233
image005-2-roi4.tif,healthy,histogram_matching,ref1,0.9082907522039947,0.9082907522039947,15.280953386671827,0.7376283664122164,18.085988133141782,0.09619599667602434,0.09619599667602434,14.677364345134439,0.44613818030262975,14.766191761956755
image006-2-roi1.tif,healthy,histogram_matching,ref1,0.9167297693007795,0.9167297693007795,15.446354737645668,0.6978354038112192,18.597719445326483,0.09805244825894348,0.09805244825894348,14.575739500803518,0.43268953956307055,15.053919609324344
image006-2-roi2.tif,healthy,histogram_matching,ref1,0.8475923828635881,0.8475923828635881,14.82383740923681,0.7257414832854594,19.508714695017908,0.09819253614302037,0.09819253614302037,14.46470217301493,0.4210818988847515,15.141620522659199
image006-2-roi3.tif,healthy,histogram_matching,ref1,0.9013840533668498,0.9013840533668498,14.601388040831505,0.7013582933311638,18.9718446519366,0.09164647324514001,0.09164647324514001,14.774827826895415,0.45715668357541894,14.64949341731604
image006-2-roi4.tif,healthy,histogram_matching,ref1,0.8731480251690028,0.8731480251690028,15.046756104831926,0.7403068087536709,18.621757309436923,0.09644543092404499,0.09644543092404499,14.415704285820008,0.41299558559352495,15.126537486479402
image006-2-roi5.tif,healthy,histogram_matching,ref1,0.9056139961253628,0.9056139961253628,15.919476560173997,0.7382560639595507,17.928810160009146,0.09765334898521201,0.09765334898521201,14.985451133877417,0.4864490769903723,14.136264749646593
image007-2-roi3.tif,healthy,histogram_matching,ref1,0.939921274887741,0.939921274887741,16.725076577616793,0.7216751125146126,16.83418473944644,0.09953164940864956,0.09953164940864956,14.64006833391714,0.4412913795436409,14.886331077266549
image011-2-roi1.tif,healthy,histogram_matching,ref1,0.9292647017469068,0.9292647017469068,15.610234702844547,0.6955242419981446,19.94868516581675,0.0917616849938074,0.0917616849938074,14.432440918502476,0.41350798040545295,15.252984475928393
image011-2-roi2.tif,healthy,histogram_matching,ref1,0.9316146111992559,0.9316146111992559,15.842435147353683,0.6963775655020665,19.943439972415582,0.09203004024919363,0.09203004024919363,14.47883600657992,0.4203015792833815,15.191548052778915
